Team 1,Team 2,match,Winner,Margin,Ground,Match Date,Scorecard,link
Netherlands,Sri Lanka,Netherlands vs Sri Lanka,Sri Lanka,5 wickets,Lucknow,"Oct 21, 2023",ODI # 4676,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-sri-lanka-19th-match-1384410/full-scorecard
Australia,Pakistan,Australia vs Pakistan,Australia,62 runs,Bengaluru,"Oct 20, 2023",ODI # 4675,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-pakistan-18th-match-1384409/full-scorecard
India,Bangladesh,India vs Bangladesh,India,7 wickets,Pune,"Oct 19, 2023",ODI # 4674,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-bangladesh-17th-match-1384408/full-scorecard
Afghanistan,New Zealand,Afghanistan vs New Zealand,New Zealand,149 runs,Chennai,"Oct 18, 2023",ODI # 4673,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-new-zealand-16th-match-1384407/full-scorecard
Netherlands,South Africa,Netherlands vs South Africa,Netherlands,38 runs,Dharamsala,"Oct 17, 2023",ODI # 4672,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-south-africa-15th-match-1384406/full-scorecard
Australia,Sri Lanka,Australia vs Sri Lanka,Australia,5 wickets,Lucknow,"Oct 16, 2023",ODI # 4671,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-sri-lanka-14th-match-1384405/full-scorecard
Afghanistan,England,Afghanistan vs England,Afghanistan,69 runs,Delhi,"Oct 15, 2023",ODI # 4670,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-england-13th-match-1384404/full-scorecard
India,Pakistan,India vs Pakistan,India,7 wickets,Ahmedabad,"Oct 14, 2023",ODI # 4669,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-pakistan-12th-match-1384403/full-scorecard
Bangladesh,New Zealand,Bangladesh vs New Zealand,New Zealand,8 wickets,Chennai,"Oct 13, 2023",ODI # 4668,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-new-zealand-11th-match-1384402/full-scorecard
Australia,South Africa,Australia vs South Africa,South Africa,134 runs,Lucknow,"Oct 12, 2023",ODI # 4667,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-south-africa-10th-match-1384401/full-scorecard
India,Afghanistan,India vs Afghanistan,India,8 wickets,Delhi,"Oct 11, 2023",ODI # 4666,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-afghanistan-9th-match-1384400/full-scorecard
Pakistan,Sri Lanka,Pakistan vs Sri Lanka,Pakistan,6 wickets,Hyderabad,"Oct 10, 2023",ODI # 4665,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/pakistan-vs-sri-lanka-8th-match-1384399/full-scorecard
Bangladesh,England,Bangladesh vs England,England,137 runs,Dharamsala,"Oct 10, 2023",ODI # 4664,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-england-7th-match-1384398/full-scorecard
Netherlands,New Zealand,Netherlands vs New Zealand,New Zealand,99 runs,Hyderabad,"Oct 9, 2023",ODI # 4663,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-new-zealand-6th-match-1384397/full-scorecard
India,Australia,India vs Australia,India,6 wickets,Chennai,"Oct 8, 2023",ODI # 4662,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-australia-5th-match-1384396/full-scorecard
South Africa,Sri Lanka,South Africa vs Sri Lanka,South Africa,102 runs,Delhi,"Oct 7, 2023",ODI # 4661,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/south-africa-vs-sri-lanka-4th-match-1384395/full-scorecard
Afghanistan,Bangladesh,Afghanistan vs Bangladesh,Bangladesh,6 wickets,Dharamsala,"Oct 7, 2023",ODI # 4660,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-bangladesh-3rd-match-1384394/full-scorecard
Netherlands,Pakistan,Netherlands vs Pakistan,Pakistan,81 runs,Hyderabad,"Oct 6, 2023",ODI # 4659,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-pakistan-2nd-match-1384393/full-scorecard
England,New Zealand,England vs New Zealand,New Zealand,9 wickets,Ahmedabad,"Oct 5, 2023",ODI # 4658,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-new-zealand-1st-match-1384392/full-scorecard
